accuracy,loss,val_accuracy,val_loss
0.11878612637519836,4.80615758895874,0.12037037312984467,4.655940532684326
0.12803468108177185,4.50377082824707,0.13657407462596893,4.398367881774902
0.1630057841539383,4.260334491729736,0.15740740299224854,4.22098445892334
0.1832370012998581,4.092015266418457,0.1805555522441864,4.095161437988281
0.20491328835487366,3.956228256225586,0.1909722238779068,3.985813856124878
0.23208092153072357,3.826486587524414,0.2048611044883728,3.8733911514282227
0.24104046821594238,3.706634044647217,0.2118055522441864,3.781946897506714
0.2520231306552887,3.593294382095337,0.2291666716337204,3.6885695457458496
0.2786127030849457,3.496279239654541,0.23842592537403107,3.6091861724853516
0.2904624342918396,3.3895301818847656,0.24421297013759613,3.558906316757202
0.30606937408447266,3.311807632446289,0.2569444477558136,3.4564285278320312
0.31820809841156006,3.2211194038391113,0.28935185074806213,3.376311779022217
0.3338150382041931,3.133661985397339,0.28240740299224854,3.327704429626465
0.3471098244190216,3.0672097206115723,0.30439814925193787,3.2585031986236572
0.36502888798713684,2.9863815307617188,0.3090277910232544,3.207080602645874
